([4;6;69], 30), F
([22;652;8;2;2;51;221;364;7;3;823;4;3;8;150;97;21;3;5;9;5;61;92;7;2;11;6;7], 837), F
([3;299;3;6;0;3;9;27;58;8;29;6;684;644;7;91;5;403;2;950;189;5;1;334;756;4;0;2196;9;9;5;0;5;7;1;58;7;344;565;72;5;8;8;9;24;6;8;4;67;9;3;45;6;574;467;38;11;55;38;9;6;813;6;2;7;919;347;3189;9223;187;25;2;1;1;3;890;1;812;20;96;51;7;7;4;969;6;9;191;9;8;32;834;4;8;2;2;281;58;639;98;0;5;58;2;165;7;3;217;858;759;8977;667;8;5;9;9;0;39;8;7;42;0;43;0;298;2;1;74;2;544;36;1;8;79;6;1;20;9;3;6;156;7;9;1;14;814;583;120;442;0;700;3;3;6;1284;6;254;6;574;7;2;5;817;93;114;7125;7;2;3;1458;13;91;4;39;449;60;7;224;3;41;2;5;7;339;0;465;7;1;532;111;3;0;6;2405;5;9;8;14;2;6;31;2;7;1;65;968;0;31;8359;7553;4;9;2723;7;739;6;0;494;3;8332;3242;9;6;50;0;5;610;3;4;709;2;7;18;52;7;949;9;5;2;43;7;3;8;1;7;8;65;0;19;2;1;2;5106;80;3;19;193;107;8;0;7;4;6;3;1;7;7;7;3;71;19;4;3779;60;2;6;5;882;6;0;58], 82), T
([7;16;609;6;445;45;1], 6), T
([4;0;303;85;889], 7), F
([], 8), F
([0;671;21;70;3;4;54;5;2], 5), T
([], 604), F
([2;498], 31), F
([3;613;313;57;9064;41;4;2;4;983;5;40;0;3;7;6;7;2;0;3380;9;21;987;13;3;4;73;0;500;5;98;51;7;70;4;69;1;2;8;6;62;5;3;97;8;6899;757;6;1;2;19;81;97;9;5764;304;24;844;8;99;764;62;7;2;529;6623;9;4;34;50;4;22;5;7;51;3;64;92;1;85;5;32;6;0;4;3;0;4;897;6;62;4;65;76;28;4;2;44;3;7;3;88;11;751;0;6;7;521;4;47;723;7;17;71;2;85;888;4;0;34;52;3;6;79;4;5;3;443;3;6;460;24;5;280;9;3;82;7;177;9;50;0;5;73;563;2;0;44;4;6;406;51;808;3;6;4;6;3;4;0;4;5;12;3320;8;3;8;5;2;4;4;0;43;25;4;85;2;68;9;2731;188;8;570;69;4;976;833;4;88;23;505;8;8;37;3797;1;1;457;2;49;52;1;733;7;1;0;52;7;8;8;8;8;9;6;755;727;172;35;334;2;1;87;46;24;6243;42;6;21;109;9;3;42;520;425;77;79;5;1;2;68;8;66;7;497;8;4;64;0;264;7206;0;7;586;67;4;1;383;5;2;26;4941;48;9;4;2;778;89;7;89;7;0;8;4;0;9902;3;219;4;5;3;8967;5249;57;3434;92;6;3;6;4;29;41;0;6;3;21;68;4;6130;679;65;0;291;79;4;4;57;2;34;3;79;6;100;6;33;8;5;0;71;22;4;0;20;551;5;7;301;0;8824;6;44;414;4;4;197;0;175;3;2;7;6;998;5;6;68;9;1;9738;64;32;422;25;66;5;547;1;14;83;7;0;80;836;4;442;7;4;514;7;6;4;23;9;517;21;0;6807;38;6;5;53;2;7;37;79;13;7;49;6;1;1;1242;24;7;4;5;635;851;296;1;5;0;95;2;8;5;9;35;34;13;5;4;4;93;7;68;9428;8;6421;60;58;2;37;0;3;488;93;68;62;8;0;399;3705;16;1;106;5;16;0;6;3;6;8;30;1;22;2;3;3;20;3;9838;23;4;655;8;8;9;30;86;7;33;7;2;5;1;2;885;5;3;70;453;6;385;6;2;328;96;798;4;9;0;4;8;82;6;4;86;2;6;70;9;78;189;304;27;19;6561;861;1;5;730;92;2;4;0;3;698;1;2;21;4;955;5;6;91;4;5;8955;51;3;1;5;3;3135;70;16;81;18;7;680;8343;416;5;4;3;5;9;5691;962;6;810;1;1;1;0;5;6;9;1;28;9;513;4;4610;5;22;6;53;8;95;868;8;0;8;763;42;8;1;9;674;4;40;415;1;8;635;0;111;4;58;564;107;9;47;9;7;3450;326;3;97;562;8;0;0;7;10;951;7;4;969;8732;86;1;6;66;75;7;5;33;6;36;20;9;34;536;3;4;14;22;8;191;1;973;7;5;4;587;42;3;6053;42;69;4;29;51;0;5;7;6;2;992;72;996;0;18;8;99;87;383;0;3;413;50;3;9;376;6;8;995;215;8;36;9;5;20;5;71;62;20;6;75;83;60;135;8;8;951;6;949;99;0;807;60;23;8;52;7;71;4;0;430;2;2;2;9;9;63;0;5;3;8;59;8;2;4;440;196;91;26;175;1;75;4;6;15;133;8;4;9;0;214;3910;84;4;4;7;8;5;29;1;8090;8;816;9;3;56;2;1;5;7;898;65;7;6;2;7;244;509;9;2;8;68;9;471;929;580;3;66;3;9;0;21;1134;8;94;1;9;63;85;91;4;69;6021;686;9;54;929;596;8;4;3;6;473;52;4;2294;1;48;35;17;280;748;321;2;2;2;4;46;4;5;2;38;5;515;1;9;62;9;4;5;9;314;2;0;5;370;3757;1;1;5;0;1;81;8;73;5;57;5;5;86;100;728;6;93;4;903;0;516;3;457;22;3;0;6;3;728;4;16;8;352;6;6;751;5;38;6;3;431;5;58;6;6;0;83;1;17;316;99;81;1;28;2;4;707;3;9;3;0;419;803;9;4;5;55;338;6;4;72;816;6;80;6;7;81;0;20;76;460;34;4;9;7908;9;0;8;4;5;2;958;5;32;2591;99;9949;58;2;9;68;2;3;0;151;179;328;8;73;2;845;5;3;4;6;7;3;419;7;6;6;0;60;1;6;884;6;55;3737;73;3;78;1;9;1;18;33;3;2;6;6;5;3;7;10;5;920;802;8;4;1;7;8;3;4;7;5;5;322;4188;8;15;5;31;4;96;35;922;27;698;17;1;218;82;1;4;7], 9), T
